# ranked causes of the DIFF/CRASH files: lines mere-ruby fails and ruby does NOT
# (a line both sides print is this shim failing twice, and is subtracted)
# 2053 failing examples across 317 files

 231 ERROR	NoMethodError
 175 FAILED	expected to be identical
 138 FAILED	expected TypeError to be raised
  87 FAILED	expected ArgumentError to be raised
  76 ERROR	NameError
  65 ERROR	ArgumentError
  52 ERROR	StandardError
  45 ERROR	TypeError
  37 FAILED	expected truthy from #<=
  35 FAILED	expected NameError to be raised
  32 ERROR	LoadError
  25 FAILED	expected RangeError to be raised
  24 FAILED	expected ZeroDivisionError to be raised
  23 RAISED	raised NoMethodError, expected TypeError
  21 RAISED	raised StandardError, expected ZeroDivisionError
  19 RAISED	raised StandardError, expected TypeError
  19 FAILED	expected SyntaxError to be raised
  17 FAILED	expected true, got false
  17 FAILED	expected false, got true
  16 FAILED	expected 1, got nil
  15 RAISED	raised NoMethodError, expected ArgumentError
  13 RAISED	raised ArgumentError, expected TypeError
  13 FAILED	expected 0, got nil
  13 ERROR	RangeError
  12 FAILED	expected truthy from #include?
  12 FAILED	expected IndexError to be raised
  11 RAISED	raised NotImplementedError, expected RangeError
  11 FAILED	expected -1, got nil
  10 FAILED	expected FrozenError to be raised
  10 FAILED	expected #<RuntimeError: Error 1>, got nil
   9 RAISED	raised StandardError, expected ArgumentError
   9 FAILED	expected true, got "TMPDIR
   8 RAISED	raised LoadError, expected TypeError
   8 FAILED	expected true, got nil
   8 FAILED	expected NoMethodError to be raised
   8 FAILED	expected a Float, got nil
   8 FAILED	expected 6, got 7
   8 FAILED	expected 3, got 1
   8 FAILED	expected 2, got 7
   8 ERROR	NotImplementedError
   7 RAISED	raised ArgumentError, expected IndexError
   7 FAILED	expected truthy from #end_with?
   7 FAILED	expected LocalJumpError to be raised
   7 FAILED	expected [0], got nil
   7 ERROR	SyntaxError
   6 RAISED	raised TypeError, expected IndexError
   6 RAISED	raised NoMethodError, expected IndexError
   6 FAILED	expected true, got #<MockObject load_fixture.rb mock>
   6 FAILED	expected nil, got #<Proc:0xADDR TMPDIR
   6 FAILED	expected FloatDomainError to be raised
   6 FAILED	expected falsy from #include?
   6 FAILED	expected false, got nil
   6 FAILED	expected Errno::EINVAL to be raised
   6 FAILED	expected 4, got 0
   5 FAILED	expected truthy from #start_with?
   5 FAILED	expected not 0
   5 FAILED	expected 1, got -2
   5 FAILED	expected ["TMPDIR 'Object#describe'", "TMPDIR 'Kernel#require'", "TMPDIR '<main>'"], got ["TMPDIR 'Kernel#require'", "TMPDIR '<main>'"]
   5 ERROR	RuntimeError
   4 RAISED	raised ZeroDivisionError, expected TypeError

# wording-only: expected/got that differ by ruby 3.2's `x' against 3.4's 'x',
# or by "for x:C" against "for an instance of C" -- a choice, not a gap
