DIFF  core/array/clone_spec.rb	FAILED: copies singleton methods: expected true, got false
DIFF  core/array/comparison_spec.rb	ERROR: Array#<=> calls <=> left to right and return first non-0 result: ArgumentError
DIFF  core/array/concat_spec.rb	FAILED: concatenates the initial value when given arguments contain 2 self: expected [1, 2, 1, 2, 1, 2], got [1, 2, 1, 2]
DIFF  core/array/cycle_spec.rb	FAILED: does not yield and returns nil when the array is empty and passed value is an integer: expected nil, got []
DIFF  core/array/dup_spec.rb	FAILED: does not copy singleton methods: expected true, got false
DIFF  core/array/each_index_spec.rb	FAILED: passes the index of each element to the block: expected [0, 1, 2, 3], got []
DIFF  core/array/each_spec.rb	FAILED: yields each element to the block even if the array is changed during iteration: expected [1, 2, 3, 4, 5, 7, 9], got [1, 2, 3, 4, 5]
DIFF  core/array/element_reference_spec.rb	FAILED: expected RangeError to be raised
CRASH core/array/fill_spec.rb	*.rb:N: mere-ruby: unexpected end of input in TMPDIR near line 91
DIFF  core/array/hash_spec.rb	FAILED: returns the same hash for equal recursive arrays: expected 5973, got 5446
CRASH core/array/initialize_spec.rb	stack overflow (recursion too deep)
DIFF  core/array/insert_spec.rb	FAILED: inserts objects before the element at index for non-negative index: expected ["b", 1, "a", 2, 3, "c", nil, "d"], got ["b", 1, "a", 2, 3, "c", "d"]
DIFF  core/array/inspect_spec.rb	FAILED: calls #to_s on the object returned from #inspect if the Object isn't a String: expected "[abc]", got "[#<object>]"
DIFF  core/array/max_spec.rb	FAILED: yields in turn the last length-1 values from the array: expected [2, 3, 4, 5], got []
DIFF  core/array/min_spec.rb	FAILED: yields in turn the last length-1 values from the array: expected [2, 3, 4, 5], got []
CRASH core/array/new_spec.rb	stack overflow (recursion too deep)
DIFF  core/array/permutation_spec.rb	FAILED: returns an Enumerator which works as expected even when the array was modified: expected [[1, 2, 3], [1, 3, 2], [2, 1, 3], [2, 3, 1], [3, 1, 2], [3, 2, 1]], got [[1, 2], [2, 1]]
DIFF  core/array/reverse_each_spec.rb	FAILED: tolerates increasing an array size during iteration: expected [:c, :a, 1], got [:c, :b, :a]
DIFF  core/array/sample_spec.rb	FAILED: samples evenly: expected truthy from #<=
DIFF  core/array/shuffle_spec.rb	FAILED: expected NoMethodError to be raised
DIFF  core/array/sum_spec.rb	FAILED: uses Kahan's compensated summation algorithm for precise sum of float numbers: expected 50.0, got 50.00000000000001
