DIFF  core/dir/chdir_spec.rb	FAILED: calls #to_str on the argument if it's not a String: expected to receive #to_str
DIFF  core/dir/children_spec.rb	FAILED: returns an Array of filenames in an existing directory including dotfiles: expected [".dotfile", ".dotsubdir", "brace", "deeply", "dir", "dir_filename_ordering", "file_one.ext", "file_two.ext", "nested", "nondotfile", "special", "su ...[clipped]
DIFF  core/dir/delete_spec.rb	ERROR: Dir.delete removes empty directories: NoMethodError
DIFF  core/dir/each_child_spec.rb	ERROR: Dir.each_child accepts an encoding keyword for the encoding of the entries: ArgumentError
DIFF  core/dir/each_spec.rb	FAILED: yields each directory entry in succession: expected [".", "..", ".dotfile", ".dotsubdir", "brace", "deeply", "dir", "dir_filename_ordering", "file_one.ext", "file_two.ext", "nested", "nondotfile", "special", "subdir_one", "subdir_tw ...[clipped]
DIFF  core/dir/element_reference_spec.rb	FAILED: calls #to_path to convert multiple patterns: expected ["file_one.ext", "file_two.ext"], got ["file_one.ext"]
DIFF  core/dir/entries_spec.rb	FAILED: returns an Array of filenames in an existing directory including dotfiles: expected [".", "..", ".dotfile", ".dotsubdir", "brace", "deeply", "dir", "dir_filename_ordering", "file_one.ext", "file_two.ext", "nested", "nondotfile", "sp ...[clipped]
DIFF  core/dir/exist_spec.rb	FAILED: returns false if the argument exists but is a file: expected false, got true
DIFF  core/dir/fileno_spec.rb	ERROR: Dir#fileno returns the file descriptor of the dir: NoMethodError
DIFF  core/dir/foreach_spec.rb	FAILED: expected SystemCallError to be raised
DIFF  core/dir/glob_spec.rb	FAILED: calls #to_path to convert multiple patterns: expected ["file_one.ext", "file_two.ext"], got []
DIFF  core/dir/home_spec.rb	FAILED: returns the current user's home directory, reading $HOME first: expected "/rubyspec_home", got "HOME"
DIFF  core/dir/mkdir_spec.rb	FAILED: calls #to_int on non-Integer permissions argument: expected to receive #to_int
DIFF  core/dir/open_spec.rb	FAILED: expected SystemCallError to be raised
DIFF  core/dir/pos_spec.rb	pass=6 fail=0 err=0
DIFF  core/dir/rewind_spec.rb	pass=3 fail=0 err=0
DIFF  core/dir/to_path_spec.rb	FAILED: returns a String with the same encoding as the argument to .open: expected to be identical
