DIFF  core/encoding/converter/asciicompat_encoding_spec.rb	ERROR: Encoding::Converter.asciicompat_encoding coerces non-String/Encoding objects with #to_str: NoMethodError
DIFF  core/encoding/converter/constants_spec.rb	FAILED: exists: expected truthy from #const_defined?
DIFF  core/encoding/converter/convert_spec.rb	ERROR: Encoding::Converter#convert raises an ArgumentError if called on a finished stream: NoMethodError
DIFF  core/encoding/converter/convpath_spec.rb	ERROR: Encoding::Converter#convpath returns an Array with a single element if there is a direct converter: NoMethodError
DIFF  core/encoding/converter/finish_spec.rb	ERROR: Encoding::Converter#finish returns a String: NoMethodError
DIFF  core/encoding/converter/last_error_spec.rb	ERROR: Encoding::Converter#last_error returns nil when the no conversion has been attempted: NoMethodError
DIFF  core/encoding/converter/new_spec.rb	FAILED: expected Encoding::ConverterNotFoundError to be raised
DIFF  core/encoding/converter/primitive_convert_spec.rb	FAILED: raised NoMethodError, expected FrozenError
DIFF  core/encoding/converter/primitive_errinfo_spec.rb	ERROR: Encoding::Converter#primitive_errinfo returns [:source_buffer_empty,nil,nil,nil,nil] when no conversion has been attempted: NoMethodError
DIFF  core/encoding/converter/putback_spec.rb	ERROR: Encoding::Converter#putback returns a String: NoMethodError
DIFF  core/encoding/converter/replacement_spec.rb	ERROR: Encoding::Converter#replacement returns '?' in US-ASCII when the destination encoding is not UTF-8: NoMethodError
DIFF  core/encoding/converter/search_convpath_spec.rb	ERROR: Encoding::Converter.search_convpath returns an Array with a single element if there is a direct converter: NoMethodError
