DIFF  core/enumerator/lazy/chunk_spec.rb	ERROR: Enumerator::Lazy#chunk returns an Enumerator if called without a block: NoMethodError
DIFF  core/enumerator/lazy/drop_while_spec.rb	FAILED: calls the block with initial values when yield with multiple arguments: expected [nil, 0, 0, 0, 0, nil, :default_arg, [], [], [0], [0, 1], [0, 1, 2]], got [nil, 0, [0, 1], [0, 1, 2], [0, 1, 2], nil, :default_arg, [], [], [0], [0, 1] ...[clipped]
DIFF  core/enumerator/lazy/eager_spec.rb	FAILED: does not enumerate an enumerator: expected [], got [1, 2, 3]
DIFF  core/enumerator/lazy/flat_map_spec.rb	FAILED: flattens elements when the given block returned an array or responding to .each and .force: expected ["0", "1", "0", "2", "0", "3"], got [#<Enumerator::Lazy: #<Enumerator: "0":each_char>>, #<Enumerator::Lazy: #<Enumerator: "10":each ...[clipped]
DIFF  core/enumerator/lazy/force_spec.rb	FAILED: passes given arguments to receiver.each: expected [nil, 0, [0, 1], [0, 1, 2], [0, 1, 2], nil, :arg1, [:arg2, :arg3], [], [0], [0, 1], [0, 1, 2]], got [nil, 0, [0, 1], [0, 1, 2], [0, 1, 2], nil, :default_arg, [], [], [0], [0, 1], [0, ...[clipped]
DIFF  core/enumerator/lazy/initialize_spec.rb	FAILED: is a private method: expected truthy from #include?
DIFF  core/enumerator/lazy/lazy_spec.rb	FAILED: defines lazy versions of a whitelist of Enumerator methods: expected truthy from #>=
DIFF  core/enumerator/lazy/map_spec.rb	FAILED: calls the block with initial values when yield with multiple arguments: expected [nil, 0, 0, 0, 0, nil, :default_arg, [], [], [0], [0, 1], [0, 1, 2]], got [nil, 0, [0, 1], [0, 1, 2], [0, 1, 2], nil, :default_arg, [], [], [0], [0, 1] ...[clipped]
DIFF  core/enumerator/lazy/select_spec.rb	ERROR: on a nested Lazy sets #size to nil: NoMethodError
DIFF  core/enumerator/lazy/take_spec.rb	ERROR: when the returned lazy enumerator is evaluated by .force stops after specified times: EnumeratorLazySpecs::SpecificError
DIFF  core/enumerator/lazy/take_while_spec.rb	FAILED: calls the block with initial values when yield with multiple arguments: expected [nil, 0, 0, 0, 0, nil, :default_arg, [], [], [0], [0, 1], [0, 1, 2]], got [nil, 0, [0, 1], [0, 1, 2], [0, 1, 2], nil, :default_arg, [], [], [0], [0, 1] ...[clipped]
SLOW  core/enumerator/lazy/to_enum_spec.rb	STOPPED BY THIS HARNESS: over the memory cap -- it did not abort on its own
DIFF  core/enumerator/lazy/zip_spec.rb	ERROR: when the returned lazy enumerator is evaluated by Enumerable#first works with an infinite enumerable and an array: TypeError
