DIFF  core/kernel/Integer_spec.rb	FAILED: expected TypeError to be raised
DIFF  core/kernel/__dir___spec.rb	FAILED: returns File.dirname(filename): expected ".", got "HOME"
SKIP  core/kernel/autoload_spec.rb
DIFF  core/kernel/backtick_spec.rb	FAILED: produces a String in the default external encoding: expected to be identical
DIFF  core/kernel/binding_spec.rb	ERROR: Kernel#binding encapsulates the execution context properly: NameError
DIFF  core/kernel/block_given_spec.rb	FAILED: returns false when a method defined by define_method is called with a block: expected false, got true
DIFF  core/kernel/caller_locations_spec.rb	FAILED: can be called with a range: expected ["TMPDIR 'Object#describe'", "TMPDIR 'Kernel#require'", "TMPDIR '<main>'"], got ["TMPDIR 'Kernel#require'", "TMPDIR '<main>'"]
DIFF  core/kernel/caller_spec.rb	FAILED: returns an Array of caller locations using a custom offset: expected "TMPDIR 'Object#describe'" to match
DIFF  core/kernel/chomp_spec.rb	ERROR: Kernel#chomp is a private method only when -n is passed: NoMethodError
DIFF  core/kernel/chop_spec.rb	ERROR: Kernel#chop is a private method only when -n is passed: NoMethodError
DIFF  core/kernel/define_singleton_method_spec.rb	FAILED: raised NoMethodError, expected TypeError
DIFF  core/kernel/eval_spec.rb	ERROR: Kernel#eval evaluates within the scope of the eval: NameError
SKIP  core/kernel/exec_spec.rb
DIFF  core/kernel/gets_spec.rb	FAILED: calls ARGF.gets: expected "spec", got nil
DIFF  core/kernel/inspect_spec.rb	FAILED: expected TypeError to be raised
DIFF  core/kernel/lambda_spec.rb	FAILED: treats the block as a Proc when lambda is re-defined: expected 1, got 2
DIFF  core/kernel/loop_spec.rb	ERROR: Kernel#loop returns an enumerator if no block given: NameError
DIFF  core/kernel/method_spec.rb	FAILED: will see an alias of the original method as == when in a derived class: expected #<Method: KernelSpecs::A#pub_method() TMPDIR got #<Method: KernelSpecs::B#aliased_pub_method() TMPDIR
DIFF  core/kernel/open_spec.rb	ERROR: when given an object that responds to to_open calls #to_path to convert the argument to a String before calling #to_str: NoMethodError
DIFF  core/kernel/public_method_spec.rb	FAILED: expected NameError to be raised
DIFF  core/kernel/raise_spec.rb	FAILED: re-raises a previously rescued exception without overwriting the cause when it's explicitly specified with :cause option and has nil value: expected #<RuntimeError: Error 1>, got nil
DIFF  core/kernel/require_relative_spec.rb	FAILED: loads a path relative to the current file: expected true, got "../../fixtures/code/load_fixture.rb"
DIFF  core/kernel/require_spec.rb	FAILED: provided features are already required: expected ["complex", "enumerator", "fiber", "pathname", "rational", "ruby2_keywords", "set", "thread"], got ["code_loading", "require", "require_spec", "spec_helper", "spec_helper"]
DIFF  core/kernel/respond_to_missing_spec.rb	FAILED: is called when obj responds to the given protected method, include_private = false: expected to receive #respond_to_missing?
DIFF  core/kernel/select_spec.rb	ERROR: Kernel#select does not block when timeout is 0: NoMethodError
DIFF  core/kernel/singleton_class_spec.rb	ERROR: for an IO object with a replaced singleton class looks up singleton methods from the fresh singleton class after an object instance got a new one: NoMethodError
DIFF  core/kernel/sleep_spec.rb	FAILED: pauses execution indefinitely if not given a duration: expected 5, got nil
DIFF  core/kernel/srand_spec.rb	FAILED: returns the previous seed value: expected 10, got 0
DIFF  core/kernel/system_spec.rb	sh: feature_14386: command not found
DIFF  core/kernel/test_spec.rb	ERROR: Kernel#test returns true when passed ?f if the argument is a regular file: NoMethodError
DIFF  core/kernel/to_enum_spec.rb	FAILED: sets regexp matches in the caller: expected ["w", "a", "w", "a"], got ["a", "a", "a", "a"]
DIFF  core/kernel/trace_var_spec.rb	FAILED: accepts a String argument instead of a Proc or block: expected true, got nil
DIFF  core/kernel/warn_spec.rb	FAILED: expected ArgumentError to be raised
