DIFF  core/matchdata/allocate_spec.rb	FAILED: expected NoMethodError to be raised
DIFF  core/matchdata/begin_spec.rb	FAILED: returns nil when the nth match isn't found: expected nil, got 0
DIFF  core/matchdata/byteoffset_spec.rb	ERROR: MatchData#byteoffset returns beginning and ending byte-based offset of whole matched substring for 0 element: NoMethodError
DIFF  core/matchdata/deconstruct_keys_spec.rb	ERROR: MatchData#deconstruct_keys returns whole hash for nil as an argument: NoMethodError
DIFF  core/matchdata/deconstruct_spec.rb	ERROR: MatchData#deconstruct is an alias of MatchData#captures: NameError
DIFF  core/matchdata/dup_spec.rb	ERROR: MatchData#dup duplicates the match data: NoMethodError
DIFF  core/matchdata/element_reference_spec.rb	FAILED: returns the matching version of multiple corresponding named match: expected "foo", got nil
DIFF  core/matchdata/end_spec.rb	FAILED: returns nil when the nth match isn't found: expected nil, got 18
DIFF  core/matchdata/eql_spec.rb	FAILED: is an alias of MatchData#==: expected #<UnboundMethod:0xADDR @__um_cls="MatchData", @__um_name="==">, got #<UnboundMethod:0xADDR @__um_cls="MatchData", @__um_name="eql?">
DIFF  core/matchdata/equal_value_spec.rb	ERROR: MatchData#== returns true if both operands have equal target strings, patterns, and match positions: NoMethodError
DIFF  core/matchdata/inspect_spec.rb	FAILED: returns a human readable representation of named captures: expected "#<MatchData \"abc def ghi\" first:\"abc\" last:\"def\">", got "#<MatchData \"abc def ghi\" first:\"abc\" last:\"def\" 3:\"ghi\">"
DIFF  core/matchdata/length_spec.rb	ERROR: MatchData#length is an alias of MatchData#size: NameError
DIFF  core/matchdata/match_length_spec.rb	ERROR: MatchData#match_length returns the length of the corresponding match when given an Integer: NoMethodError
DIFF  core/matchdata/match_spec.rb	ERROR: MatchData#match returns the corresponding match when given an Integer: NoMethodError
DIFF  core/matchdata/named_captures_spec.rb	FAILED: returns the latest matched capture, even if a later one that does not match exists: expected {"a"=>"0", "b"=>"2"}, got {"b"=>"2", "a"=>nil}
DIFF  core/matchdata/names_spec.rb	FAILED: returns each name only once: expected ["hay", "dot"], got ["dot", "hay"]
DIFF  core/matchdata/offset_spec.rb	ERROR: MatchData#offset returns beginning and ending character offset of whole matched substring for 0 element: NoMethodError
DIFF  core/matchdata/post_match_spec.rb	FAILED: sets the encoding to the encoding of the source String: expected to be identical
DIFF  core/matchdata/pre_match_spec.rb	FAILED: sets the encoding to the encoding of the source String: expected to be identical
DIFF  core/matchdata/regexp_spec.rb	ERROR: MatchData#regexp returns a Regexp object: NoMethodError
DIFF  core/matchdata/string_spec.rb	FAILED: returns the same frozen string for every call: expected to be identical
DIFF  core/matchdata/values_at_spec.rb	FAILED: returns an array containing each value given by one of integers: expected ["HX1138", "X", "113"], got ["HX1138", "X", nil]
