DIFF  core/module/alias_method_spec.rb	ERROR: Module#alias_method handles aliasing a stub that changes visibility: NoMethodError
DIFF  core/module/autoload_spec.rb	FAILED: returns the name of the file that will be autoloaded if an ancestor defined that autoload: expected "another_autoload.rb", got nil
DIFF  core/module/const_added_spec.rb	FAILED: for a class defined with the `class` keyword, const_added runs before inherited: expected [:const_added, :inherited], got [:inherited]
DIFF  core/module/const_get_spec.rb	FAILED: expected NameError to be raised
DIFF  core/module/const_set_spec.rb	ERROR: Module#const_set sets the name of a module scoped by an anonymous module: NoMethodError
DIFF  core/module/const_source_location_spec.rb	ERROR: with dynamically assigned constants searches a path in the immediate class or module first: NameError
DIFF  core/module/constants_spec.rb	FAILED: returns an array of the names of all toplevel constants: expected 7, got 6
SLOW  core/module/define_method_spec.rb	STOPPED BY THIS HARNESS: over the memory cap -- it did not abort on its own
DIFF  core/module/deprecate_constant_spec.rb	ERROR: when accessing the deprecated module passes the accessing: NameError
DIFF  core/module/include_spec.rb	FAILED: calls #append_features(self) in reversed order on each module: expected [[#<Module:0xADDR>, #<Class:0xADDR>], [#<Module:0xADDR>, #<Class:0xADDR>], [#<Module:0xADDR>, #<Class:0xADDR>]], got []
DIFF  core/module/included_spec.rb	ERROR: Module#included allows extending self with the object into which it is being included: NoMethodError
DIFF  core/module/initialize_spec.rb	ERROR: Module#initialize is called on subclasses: NoMethodError
DIFF  core/module/instance_method_spec.rb	FAILED: raised NameError, expected TypeError
DIFF  core/module/instance_methods_spec.rb	FAILED: does not return methods undefined in a subclass: expected falsy from #include?
DIFF  core/module/method_added_spec.rb	FAILED: is called when using #private in a subclass: expected [:foo], got []
DIFF  core/module/module_eval_spec.rb	FAILED: converts a non-string filename to a string using to_str: expected to receive #to_str
DIFF  core/module/module_exec_spec.rb	ERROR: Module#module_exec evaluates a given block in the context of self: NoMethodError
DIFF  core/module/module_function_spec.rb	FAILED: tries to convert the given names to strings using to_str: expected true, got false
DIFF  core/module/name_spec.rb	ERROR: Module#name is not nil when assigned to a constant in an anonymous module: NoMethodError
DIFF  core/module/nesting_spec.rb	FAILED: returns the list of Modules nested at the point of call: expected [#<Class:ModuleSpecs::Nesting>, ModuleSpecs::Nesting, ModuleSpecs], got [#<Class:ModuleSpecs::Nesting>, ModuleSpecs::Nesting, ModuleSpecs]
SKIP  core/module/prepend_spec.rb
DIFF  core/module/private_class_method_spec.rb	FAILED: expected NameError to be raised
DIFF  core/module/private_spec.rb	FAILED: makes a public Object instance method private in a new module: expected truthy from #include?
DIFF  core/module/protected_spec.rb	FAILED: expected NoMethodError to be raised
DIFF  core/module/public_class_method_spec.rb	FAILED: expected NameError to be raised
DIFF  core/module/public_instance_method_spec.rb	FAILED: requires an argument: expected 1, got -1
DIFF  core/module/public_spec.rb	FAILED: makes a private Object instance method public in a new module: expected truthy from #include?
DIFF  core/module/refine_spec.rb	ERROR: Module#refine applies refinements to the module: NoMethodError
DIFF  core/module/remove_class_variable_spec.rb	ERROR: Module#remove_class_variable returns the value of removing class variable: NameError
DIFF  core/module/ruby2_keywords_spec.rb	FAILED: makes a copy and unmark the Hash when calling a method taking (arg): expected not to be identical
DIFF  core/module/set_temporary_name_spec.rb	FAILED: can assign a temporary name to a module nested into an anonymous module: expected nil to match
DIFF  core/module/to_s_spec.rb	FAILED: for the singleton class of an object of an anonymous class: expected "#<Class:#<#<Class:0xADDR>:0xADDR>>", got "#<Class:#<AnonClass_4:0xADDR>>"
DIFF  core/module/used_refinements_spec.rb	FAILED: returns refinements even not defined directly in a module refinements are imported from: expected [#<Class:0xADDR>], got []
DIFF  core/module/using_spec.rb	FAILED: expected TypeError to be raised
