DIFF  core/string/allocate_spec.rb	FAILED: returns a binary String: expected #<Encoding:ASCII-8BIT>, got #<Encoding:UTF-8>
DIFF  core/string/append_spec.rb	FAILED: raised NoMethodError, expected ArgumentError
DIFF  core/string/ascii_only_spec.rb	FAILED: returns false for the empty String with a non-ASCII-compatible encoding: expected false, got true
DIFF  core/string/byteindex_spec.rb	FAILED: calls #to_str to convert the first argument: expected 1, got nil
DIFF  core/string/byterindex_spec.rb	FAILED: tries to convert obj to a string via to_str: expected 3, got nil
DIFF  core/string/byteslice_spec.rb	ERROR: String#byteslice on non ASCII strings returns byteslice of unicode strings: TypeError
DIFF  core/string/bytesplice_spec.rb	FAILED: raised NoMethodError, expected IndexError
DIFF  core/string/capitalize_spec.rb	FAILED: only capitalizes the first resulting character when upcasing a character produces a multi-character sequence: expected "Ss", got "SS"
DIFF  core/string/casecmp_spec.rb	FAILED: tries to convert other to string using to_str: expected 0, got nil
DIFF  core/string/center_spec.rb	FAILED: calls #to_int to convert length to an integer: expected "^_^", got "_"
DIFF  core/string/chars_spec.rb	FAILED: returns Strings in the same encoding as self: expected #<Encoding:US-ASCII>, got #<Encoding:UTF-8>
DIFF  core/string/chomp_spec.rb	FAILED: removes trailing characters that match $/ when it has been assigned a value: expected "ab", got "abcdef"
DIFF  core/string/chop_spec.rb	FAILED: removes a multi-byte character: expected "„ÅÇ", got "„ÅÇ„Ç"
DIFF  core/string/clear_spec.rb	FAILED: preserves its encoding: expected #<Encoding:Shift_JIS>, got #<Encoding:UTF-8>
DIFF  core/string/clone_spec.rb	FAILED: calls #initialize_copy on the new instance: expected 2003224, got nil
DIFF  core/string/codepoints_spec.rb	FAILED: raises an ArgumentError when no block is given if self has an invalid encoding: expected false, got true
DIFF  core/string/comparison_spec.rb	FAILED: compares the indices of the encodings when the strings have identical non-ASCII-compatible bytes: expected -1, got 0
DIFF  core/string/count_spec.rb	FAILED: expected ArgumentError to be raised
DIFF  core/string/crypt_spec.rb	FAILED: raised NoMethodError, expected TypeError
DIFF  core/string/delete_prefix_spec.rb	FAILED: does not remove partial bytes, only full characters: expected "„ÅÇ", got "ÅÇ"
DIFF  core/string/delete_spec.rb	FAILED: expected ArgumentError to be raised
DIFF  core/string/delete_suffix_spec.rb	FAILED: does not remove partial bytes, only full characters: expected "„ÅÇ", got "„Å"
DIFF  core/string/downcase_spec.rb	FAILED: updates string metadata: expected "king", got "‚Ñ™ing"
DIFF  core/string/dump_spec.rb	FAILED: returns a string with multi-byte UTF-8 characters greater than 0xADDRFFFF replaced by \u{XXXXXX} notation with upper-case hex digits: expected "\"\u{10000}\"", got "\"\u00F0\u0090\u0080\u0080\""
DIFF  core/string/dup_spec.rb	FAILED: calls #initialize_copy on the new instance: expected 2003224, got nil
DIFF  core/string/each_byte_spec.rb	FAILED: keeps iterating from the old position (to new string end) when self changes: expected "h><>hello world", got "hello world"
DIFF  core/string/each_codepoint_spec.rb	FAILED: returns an Enumerator even when self has an invalid encoding: expected false, got true
DIFF  core/string/each_grapheme_cluster_spec.rb	ERROR: String#each_grapheme_cluster yields String instances for subclasses: NoMethodError
DIFF  core/string/element_set_spec.rb	FAILED: raised StandardError, expected IndexError
DIFF  core/string/encode_spec.rb	FAILED: encodes an ascii substring of a binary string to UTF-8: expected "foo", got "oo"
DIFF  core/string/encoding_spec.rb	FAILED: is equal to the source encoding by default: expected #<Encoding:ISO-8859-9>, got #<Encoding:US-ASCII>
DIFF  core/string/force_encoding_spec.rb	FAILED: accepts a String as the name of an Encoding: expected #<Encoding:Shift_JIS>, got #<Encoding:UTF-8>
DIFF  core/string/freeze_spec.rb	FAILED: produces the same object whenever called on an instance of a literal in the source: expected to be identical
DIFF  core/string/getbyte_spec.rb	FAILED: expected ArgumentError to be raised
DIFF  core/string/grapheme_clusters_spec.rb	ERROR: String#grapheme_clusters returns an array when no block given: NoMethodError
DIFF  core/string/gsub_spec.rb	FAILED: respects unicode when the pattern collapses: expected ".„Åì.„Å´.„Å°.„Çè.", got ".„.Å.ì.„.Å.´.„.Å.°.„.Ç.è."
DIFF  core/string/include_spec.rb	FAILED: tries to convert other to string using to_str: expected true, got false
DIFF  core/string/index_spec.rb	FAILED: expected TypeError to be raised
DIFF  core/string/insert_spec.rb	FAILED: expected IndexError to be raised
DIFF  core/string/inspect_spec.rb	ERROR: when default external is UTF-8 returns a string with non-printing characters replaced by \u notation for Unicode strings: NameError
DIFF  core/string/length_spec.rb	ERROR: String#length returns the length of a string in different encodings: Encoding::UndefinedConversionError
DIFF  core/string/lines_spec.rb	FAILED: returns an array when no block given: expected ["hello ", "world"], got ["hello world"]
DIFF  core/string/ljust_spec.rb	FAILED: tries to convert length to an integer using to_int: expected "^_^", got "^"
DIFF  core/string/lstrip_spec.rb	FAILED: returns a copy of self with leading whitespace removed: expected "hello world  ", got "
DIFF  core/string/match_spec.rb	FAILED: expected TypeError to be raised
CRASH core/string/modulo_spec.rb	FAILED: supports float formats using %e: expected "9.000000e+00", got "%*e"
DIFF  core/string/new_spec.rb	FAILED: accepts an encoding argument: expected #<Encoding:EUC-JP>, got #<Encoding:UTF-8>
DIFF  core/string/ord_spec.rb	FAILED: expected ArgumentError to be raised
DIFF  core/string/partition_spec.rb	FAILED: accepts regexp: expected ["he", "ll", "o!"], got ["hello!", "", ""]
DIFF  core/string/prepend_spec.rb	FAILED: expected TypeError to be raised
DIFF  core/string/reverse_spec.rb	FAILED: works with a broken string: expected false, got true
DIFF  core/string/rindex_spec.rb	FAILED: expected TypeError to be raised
DIFF  core/string/rjust_spec.rb	FAILED: tries to convert length to an integer using to_int: expected "^_^", got "^"
DIFF  core/string/rpartition_spec.rb	FAILED: handles multibyte string correctly: expected ["„É¶„Éº„Ç∂", "@", "„Éâ„É°„Ç§„É≥"], got ["", "", "„É¶„Éº„Ç∂@„Éâ„É°„Ç§„É≥"]
DIFF  core/string/rstrip_spec.rb	FAILED: returns a copy of self with trailing whitespace removed: expected "  hello world", got "  hello world 
DIFF  core/string/scan_spec.rb	FAILED: respects unicode when the pattern collapses to nothing: expected ["", "", "", "", ""], got ["", "", "", "", "", "", "", "", "", "", "", "", ""]
DIFF  core/string/scrub_spec.rb	ERROR: String#scrub with a default replacement returns self for valid strings: NoMethodError
DIFF  core/string/setbyte_spec.rb	FAILED: can invalidate a String's encoding: expected false, got true
DIFF  core/string/slice_spec.rb	ERROR: String#slice! with index calls to_int on index: TypeError
DIFF  core/string/split_spec.rb	FAILED: expected ArgumentError to be raised
DIFF  core/string/squeeze_spec.rb	FAILED: negates sets starting with ^: expected "<<subokeeper!!!>>", got "<<subokeper!!!>>"
DIFF  core/string/strip_spec.rb	FAILED: returns a new string with leading and trailing whitespace removed: expected "goodbye", got "goodbye
DIFF  core/string/sub_spec.rb	FAILED: ignores a block if supplied: expected "good", got "wood"
DIFF  core/string/succ_spec.rb	ERROR: String#succ increases the next best character if there is a carry for non-alphanumerics: StandardError
DIFF  core/string/swapcase_spec.rb	FAILED: updates string metadata: expected "aSSET", got "a√üET"
DIFF  core/string/to_c_spec.rb	ERROR: String#to_c returns a complex number with 0 as the real part, 0 as the imaginary part for unrecognised Strings: NoMethodError
DIFF  core/string/to_f_spec.rb	FAILED: ignores leading and trailing whitespace: expected 1.2, got 0.0
DIFF  core/string/to_i_spec.rb	FAILED: ignores multiple non-consecutive underscores when the first digit is 0: expected 2, got 0
DIFF  core/string/to_r_spec.rb	ERROR: String#to_r returns a Rational object: NoMethodError
DIFF  core/string/to_sym_spec.rb	ERROR: String#to_sym returns a US-ASCII Symbol for a UTF-8 String containing only US-ASCII characters: NoMethodError
DIFF  core/string/tr_s_spec.rb	FAILED: returns a string processed according to tr with newly duplicate characters removed: expected "hhxo", got "hxo"
DIFF  core/string/tr_spec.rb	FAILED: expected ArgumentError to be raised
DIFF  core/string/try_convert_spec.rb	FAILED: sends #to_str to the argument and raises TypeError if it's not a kind of String: matcher did not match #<Proc>
DIFF  core/string/uminus_spec.rb	FAILED: returns the same object for equal unfrozen strings: expected to be identical
DIFF  core/string/undump_spec.rb	ERROR: String#undump does not take into account if a string is frozen: NoMethodError
