DIFF  core/struct/deconstruct_keys_spec.rb	FAILED: accepts string attribute names: expected {"x" => 1, "y" => 2}, got {}
DIFF  core/struct/deconstruct_spec.rb	ERROR: Struct#deconstruct is an alias of Struct#to_a: NameError
DIFF  core/struct/dig_spec.rb	FAILED: accepts String keys: expected {b: [1, 2, 3]}, got nil
DIFF  core/struct/each_pair_spec.rb	FAILED: returns self if passed a block: expected to be identical
DIFF  core/struct/element_reference_spec.rb	ERROR: Struct[] is a synonym for new: NoMethodError
DIFF  core/struct/element_set_spec.rb	ERROR: Struct#[]= assigns the passed value: NoMethodError
DIFF  core/struct/filter_spec.rb	ERROR: Struct#filter is an alias of Struct#select: NameError
DIFF  core/struct/hash_spec.rb	FAILED: returns the same integer for structs with the same content: expected 260110391, got 296803164
DIFF  core/struct/initialize_spec.rb	FAILED: is private: expected truthy from #include?
DIFF  core/struct/inspect_spec.rb	FAILED: is an alias of Struct#to_s: expected #<UnboundMethod:0xADDR @__um_cls="Struct_2", @__um_name="to_s">, got #<UnboundMethod:0xADDR @__um_cls="Struct_2", @__um_name="inspect">
DIFF  core/struct/instance_variable_get_spec.rb	FAILED: returns nil for attributes: expected nil, got "Hugo"
DIFF  core/struct/instance_variables_spec.rb	FAILED: returns an empty array if only attributes are defined: expected [], got [:@make, :@model, :@year]
DIFF  core/struct/keyword_init_spec.rb	ERROR: StructClass#keyword_init? returns true for a struct that accepts keyword arguments to initialize: NoMethodError
DIFF  core/struct/length_spec.rb	FAILED: is an alias of Struct#size: expected #<UnboundMethod:0xADDR @__um_cls="Struct_2", @__um_name="size">, got #<UnboundMethod:0xADDR @__um_cls="Struct_2", @__um_name="length">
DIFF  core/struct/new_spec.rb	ERROR: Struct.new calls to_str on its first argument (constant name): NameError
DIFF  core/struct/select_spec.rb	FAILED: expected ArgumentError to be raised
DIFF  core/struct/struct_spec.rb	FAILED: writer method be a synonym for []=: expected "F150", got nil
DIFF  core/struct/to_h_spec.rb	FAILED: converts [key, value] pairs returned by the block to a hash: expected {"K" => "V", "K" => "V", "K" => "V"}, got {make: "Ford", model: "Ranger", year: nil}
DIFF  core/struct/to_s_spec.rb	FAILED: returns a string representation without the class name for structs nested in anonymous classes: expected "#<struct a=\"\">", got "#<#<Class:0xADDR>:0xADDR>"
DIFF  core/struct/values_at_spec.rb	FAILED: expected IndexError to be raised
DIFF  core/struct/values_spec.rb	FAILED: is an alias of Struct#to_a: expected #<UnboundMethod:0xADDR @__um_cls="Struct_2", @__um_name="to_a">, got #<UnboundMethod:0xADDR @__um_cls="Struct_2", @__um_name="values">
