DIFF  core/time/_dump_spec.rb	ERROR: Time#_dump is a private method: NoMethodError
DIFF  core/time/_load_spec.rb	FAILED: is a private method: expected truthy from #include?
DIFF  core/time/at_spec.rb	FAILED: returns Time with correct microseconds: expected 539759, got 539758
DIFF  core/time/comparison_spec.rb	FAILED: returns 1 if the first argument is a fraction of a microsecond after the second argument: expected 1, got 0
DIFF  core/time/deconstruct_keys_spec.rb	ERROR: Time#deconstruct_keys returns whole hash for nil as an argument: NoMethodError
DIFF  core/time/getlocal_spec.rb	FAILED: returns a Time with UTC offset specified as an Integer number of seconds: expected 2007-01-09 13:00:30 +0000, got 2007-01-09 12:00:00 UTC
DIFF  core/time/inspect_spec.rb	FAILED: uses the correct time zone without microseconds: expected "2000-01-01 09:00:00 +0900", got "2000-01-01 00:00:00 UTC"
DIFF  core/time/iso8601_spec.rb	FAILED: generates ISO-8601 string with timezone offset for non-UTC times: expected "1985-04-12T23:20:50+02:00", got "1985-04-12T23:20:50+00:00"
DIFF  core/time/localtime_spec.rb	FAILED: converts time to the UTC offset specified as an Integer number of seconds: expected 2007-01-09 13:00:30 +0000, got 2007-01-09 12:00:00 UTC
DIFF  core/time/minus_spec.rb	FAILED: expected TypeError to be raised
DIFF  core/time/new_spec.rb	FAILED: returns a Time with a UTC offset of the specified number of Integer seconds: expected 123, got 0
DIFF  core/time/now_spec.rb	FAILED: could be UTC offset as a String in '+HH:MM or '-HH:MM' format: expected 18000, got 0
DIFF  core/time/nsec_spec.rb	FAILED: returns the nanoseconds part of a Time constructed with an Float number of microseconds: expected 3750, got 0
DIFF  core/time/plus_spec.rb	FAILED: adds a negative Float: expected 699999, got 700000
DIFF  core/time/strftime_spec.rb	FAILED: rounds an offset to the nearest second when formatting with %z: expected "+01:01:05", got "+00:00:00"
DIFF  core/time/usec_spec.rb	FAILED: returns the microseconds part of a Time constructed with an Float number of microseconds > 1: expected 3, got 0
DIFF  core/time/utc_offset_spec.rb	FAILED: returns offset as Rational: expected 7245, got 0
DIFF  core/time/utc_spec.rb	FAILED: does treat time with 'UTC' offset as UTC: expected true, got false
DIFF  core/time/zone_spec.rb	FAILED: returns UTC when called on a UTC time: expected "UTC", got nil
