DIFF  core/unboundmethod/arity_spec.rb	FAILED: returns -1: expected -1, got -4
DIFF  core/unboundmethod/bind_call_spec.rb	ERROR: UnboundMethod#bind_call binds and calls the method on any object when UnboundMethod is unbound from a module: NoMethodError
DIFF  core/unboundmethod/bind_spec.rb	ERROR: UnboundMethod#bind binds a Parent's class method to any Child's class methods: TypeError
DIFF  core/unboundmethod/clone_spec.rb	ERROR: UnboundMethod#clone preserves frozen status: NoMethodError
DIFF  core/unboundmethod/equal_value_spec.rb	FAILED: returns false if both have same Module, same name, identical body but not the same: expected false, got true
DIFF  core/unboundmethod/hash_spec.rb	FAILED: returns the same value for user methods that are eql?: expected 949583540, got 949587815
DIFF  core/unboundmethod/original_name_spec.rb	FAILED: returns the original name even when aliased twice: expected :foo, got :bar
DIFF  core/unboundmethod/owner_spec.rb	FAILED: returns the class on which public was called for a private method in ancestor: expected MethodSpecs::InheritedMethods::C, got MethodSpecs::InheritedMethods::B
DIFF  core/unboundmethod/source_location_spec.rb	ERROR: UnboundMethod#source_location returns the location of the original method even if it was aliased: NoMethodError
DIFF  core/unboundmethod/super_method_spec.rb	ERROR: after changing an inherited methods visibility returns the expected super_method: NoMethodError
DIFF  core/unboundmethod/to_s_spec.rb	FAILED: the String shows the method name, Module defined in and Module extracted from: expected "#<UnboundMethod:0xADDR>" to match
